CELNBR;Saida;Entrada;Duracao_segundos;Hora;Intervalo;Operadora;acima_abaixo
2,58823E+11;27-01-2018 12:30;27-01-2018 12:30;8;12;c - 12>16;MCEL;ABAIXO
2,58823E+11;27-01-2018 12:15;27-01-2018 12:15;8;12;c - 12>16;MCEL;ABAIXO
2,58823E+11;27-01-2018 12:00;27-01-2018 12:00;9;12;c - 12>16;MCEL;ABAIXO
2,58823E+11;27-01-2018 11:45;27-01-2018 11:45;11;11;b - 7>12;MCEL;ABAIXO
2,58823E+11;27-01-2018 11:30;27-01-2018 11:30;14;11;b - 7>12;MCEL;ABAIXO
2,58823E+11;27-01-2018 11:15;27-01-2018 11:15;11;11;b - 7>12;MCEL;ABAIXO
2,58823E+11;27-01-2018 11:00;27-01-2018 11:00;12;11;b - 7>12;MCEL;ABAIXO
2,58823E+11;27-01-2018 10:45;27-01-2018 10:45;7;10;b - 7>12;MCEL;ABAIXO
2,58823E+11;27-01-2018 10:30;27-01-2018 10:30;7;10;b - 7>12;MCEL;ABAIXO
2,58823E+11;27-01-2018 10:15;27-01-2018 10:15;8;10;b - 7>12;MCEL;ABAIXO
2,58823E+11;27-01-2018 10:00;27-01-2018 10:00;8;10;b - 7>12;MCEL;ABAIXO
2,58823E+11;27-01-2018 09:45;27-01-2018 09:45;8;9;b - 7>12;MCEL;ABAIXO
2,58823E+11;27-01-2018 09:30;27-01-2018 09:30;12;9;b - 7>12;MCEL;ABAIXO
2,58823E+11;27-01-2018 09:15;27-01-2018 09:15;8;9;b - 7>12;MCEL;ABAIXO
2,58823E+11;27-01-2018 09:00;27-01-2018 09:00;5;9;b - 7>12;MCEL;ABAIXO
2,58823E+11;27-01-2018 08:45;27-01-2018 08:45;11;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;27-01-2018 08:30;27-01-2018 08:30;10;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;27-01-2018 08:15;27-01-2018 08:15;7;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;27-01-2018 08:00;27-01-2018 08:00;12;8;b - 7>12;MCEL;ABAIXO
2,58823E+11;26-01-2018 19:45;26-01-2018 21:25;6059;21;e - 18>22;MCEL;ACIMA
2,58823E+11;26-01-2018 19:30;26-01-2018 20:54;5045;20;e - 18>22;MCEL;ACIMA
2,58823E+11;26-01-2018 19:15;26-01-2018 19:51;2194;19;e - 18>22;MCEL;ACIMA
2,58823E+11;26-01-2018 19:00;26-01-2018 20:12;4320;20;e - 18>22;MCEL;ACIMA
2,58823E+11;26-01-2018 18:45;26-01-2018 19:37;3176;19;e - 18>22;MCEL;ACIMA
2,58823E+11;26-01-2018 18:30;26-01-2018 19:13;2620;19;e - 18>22;MCEL;ACIMA
2,58823E+11;26-01-2018 18:15;26-01-2018 19:05;3043;19;e - 18>22;MCEL;ACIMA
2,58823E+11;26-01-2018 18:00;26-01-2018 18:19;1185;18;e - 18>22;MCEL;ACIMA
2,58823E+11;26-01-2018 17:45;26-01-2018 17:47;132;17;d - 16>18;MCEL;ACIMA
2,58823E+11;26-01-2018 17:30;26-01-2018 18:00;1858;18;e - 18>22;MCEL;ACIMA
