CELNBR;Saida;Entrada;Duracao_segundos;Hora;Intervalo;Operadora;acima_abaixo
2,58875E+11;20-11-2017 09:15;20-11-2017 09:15;5;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;20-11-2017 09:00;20-11-2017 09:00;5;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;20-11-2017 08:45;20-11-2017 08:45;6;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;20-11-2017 08:30;20-11-2017 08:30;5;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;20-11-2017 08:15;20-11-2017 08:15;6;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;20-11-2017 08:00;20-11-2017 08:00;6;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;19-11-2017 19:45;19-11-2017 19:45;3;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;19-11-2017 19:30;19-11-2017 19:30;3;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;19-11-2017 19:15;19-11-2017 19:15;4;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;19-11-2017 19:00;19-11-2017 19:00;4;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;19-11-2017 18:45;19-11-2017 18:45;7;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;19-11-2017 18:30;19-11-2017 18:30;3;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;19-11-2017 18:15;19-11-2017 18:15;5;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;19-11-2017 18:00;19-11-2017 18:00;7;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;19-11-2017 17:45;19-11-2017 17:45;7;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;19-11-2017 17:30;19-11-2017 17:30;4;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;19-11-2017 17:15;19-11-2017 17:15;7;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;19-11-2017 17:00;19-11-2017 17:00;6;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;19-11-2017 16:45;19-11-2017 16:45;4;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;19-11-2017 16:30;19-11-2017 16:30;6;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;19-11-2017 16:15;19-11-2017 16:15;5;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;19-11-2017 16:00;19-11-2017 16:00;5;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;19-11-2017 15:45;19-11-2017 15:45;4;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;19-11-2017 15:30;19-11-2017 15:30;7;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;19-11-2017 15:15;19-11-2017 15:15;3;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;19-11-2017 15:00;19-11-2017 15:00;4;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;19-11-2017 14:45;19-11-2017 14:45;4;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;19-11-2017 14:30;19-11-2017 14:30;7;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;19-11-2017 14:15;19-11-2017 14:15;5;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;19-11-2017 14:00;19-11-2017 14:00;5;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;19-11-2017 13:45;19-11-2017 13:45;8;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;19-11-2017 13:30;19-11-2017 13:30;7;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;19-11-2017 13:15;19-11-2017 13:15;4;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;19-11-2017 13:00;19-11-2017 13:00;6;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;19-11-2017 12:45;19-11-2017 12:45;16;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;19-11-2017 12:30;19-11-2017 12:30;8;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;19-11-2017 12:15;19-11-2017 12:15;4;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;19-11-2017 12:00;19-11-2017 12:00;5;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;19-11-2017 11:45;19-11-2017 11:45;6;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;19-11-2017 11:30;19-11-2017 11:30;4;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;19-11-2017 11:15;19-11-2017 11:15;7;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;19-11-2017 11:00;19-11-2017 11:00;5;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;19-11-2017 10:45;19-11-2017 10:45;4;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;19-11-2017 10:30;19-11-2017 10:30;6;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;19-11-2017 10:15;19-11-2017 10:15;4;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;19-11-2017 10:00;19-11-2017 10:00;7;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;19-11-2017 09:45;19-11-2017 09:45;4;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;19-11-2017 09:30;19-11-2017 09:30;7;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;19-11-2017 09:15;19-11-2017 09:15;3;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;19-11-2017 09:00;19-11-2017 09:00;7;9;b - 7>12;MVTEL;ABAIXO
